repo_url,dep_url,user_weight
https://github.com/ethpandaops/checkpointz,https://github.com/pk910/dynamic-ssz,0.5892
https://github.com/ethpandaops/checkpointz,https://github.com/ethpandaops/beacon,0.2545
https://github.com/ethpandaops/checkpointz,https://github.com/attestantio/go-eth2-client,0.1242
https://github.com/ethpandaops/checkpointz,https://github.com/ethpandaops/ethwallclock,0.0161427964
https://github.com/ethpandaops/checkpointz,https://github.com/pkg/errors,0.0049197955
https://github.com/ethpandaops/checkpointz,https://github.com/julienschmidt/httprouter,0.0038705709
https://github.com/ethpandaops/checkpointz,https://github.com/sirupsen/logrus,0.0021737289
https://github.com/ethpandaops/checkpointz,https://github.com/creasty/defaults,0.0015133033
https://github.com/ethpandaops/checkpointz,https://github.com/go-co-op/gocron,0.0014817188
https://github.com/ethpandaops/checkpointz,https://github.com/prometheus/client_golang,0.0008788526
https://github.com/ethpandaops/checkpointz,https://github.com/chuckpreslar/emission,0.0003633087
https://github.com/ethpandaops/checkpointz,https://github.com/stretchr/testify,0.0003247
https://github.com/ethpandaops/checkpointz,https://github.com/decred/dcrd,0.0001454048
https://github.com/ethpandaops/checkpointz,https://github.com/go-playground/validator,8.61597363282132E-005
https://github.com/ethpandaops/checkpointz,https://github.com/spf13/cobra,7.15688712758924E-005
https://github.com/ethpandaops/checkpointz,https://github.com/r3labs/sse,2.95402042128328E-005
https://github.com/ethpandaops/checkpointz,https://github.com/cespare/xxhash,2.64108221332182E-005
https://github.com/ethpandaops/checkpointz,https://github.com/robfig/cron,2.37852415029533E-005
https://github.com/ethpandaops/checkpointz,https://github.com/nanmu42/gzip,1.85147032636023E-005
https://github.com/ethpandaops/checkpointz,https://github.com/ugorji/go,1.46683729676054E-005
https://github.com/ethpandaops/checkpointz,https://github.com/btcsuite/btcd,9.23313040827473E-006
https://github.com/ethpandaops/checkpointz,https://github.com/klauspost/cpuid,3.60411806073263E-006
https://github.com/ethpandaops/checkpointz,https://github.com/matttproud/golang_protobuf_extensions,2.33492594794775E-006
https://github.com/offchainlabs/prysm,https://github.com/consensys/gnark-crypto,0.2
https://github.com/offchainlabs/prysm,https://github.com/libp2p/go-libp2p,0.2
https://github.com/offchainlabs/prysm,https://github.com/ethereum/c-kzg-4844,0.2
https://github.com/offchainlabs/prysm,https://github.com/libp2p/go-libp2p-mplex,0.03
https://github.com/offchainlabs/prysm,https://github.com/btcsuite/btcd,0.0362935226
https://github.com/offchainlabs/prysm,https://github.com/crate-crypto/go-kzg-4844,0.0320621563
https://github.com/offchainlabs/prysm,https://github.com/libp2p/go-libp2p-pubsub,0.1
https://github.com/offchainlabs/prysm,https://github.com/herumi/bls-eth-go-binary,0.0272142493
https://github.com/offchainlabs/prysm,https://github.com/hashicorp/golang-lru,0.0226738955
https://github.com/offchainlabs/prysm,https://github.com/gogo/protobuf,0.0191305148
https://github.com/offchainlabs/prysm,https://github.com/fsnotify/fsnotify,0.0180946039
